id,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
USC00310506,BANNER ELK,-81.8742,36.1617,POINT (-81.8742 36.1617),25,NC,North Carolina,37
USC00318744,TRYON,-82.2517,35.2058,POINT (-82.2517 35.2058),25,NC,North Carolina,37
USC00313106,FLETCHER 3 W,-82.5575,35.4267,POINT (-82.5575 35.4267),25,NC,North Carolina,37
USC00311055,BREVARD,-82.7358,35.2283,POINT (-82.7358 35.2283),25,NC,North Carolina,37
USC00318113,SOUTHPORT 5 N,-78.0078,33.9947,POINT (-78.0078 33.9947),25,NC,North Carolina,37
USC00315838,MORGANTON,-81.6728,35.7297,POINT (-81.6728 35.7297),25,NC,North Carolina,37
USC00315123,LOUISBURG,-78.3039,36.1028,POINT (-78.3039 36.1028),25,NC,North Carolina,37
USC00312200,CULLOWHEE,-83.1747,35.3117,POINT (-83.1747 35.3117),25,NC,North Carolina,37
USC00316341,OCONALUFTEE,-83.3056,35.5158,POINT (-83.3056 35.5158),25,NC,North Carolina,37
USC00317615,SALISBURY,-80.4822,35.6836,POINT (-80.4822 35.6836),25,NC,North Carolina,37
USC00311624,CELO 2 S,-82.1769,35.8297,POINT (-82.1769 35.8297),25,NC,North Carolina,37
USC00314496,JEFFERSON 2 E,-81.4286,36.4161,POINT (-81.4286 36.4161),25,NC,North Carolina,37
USC00314860,LAURINBURG,-79.4664,34.7508,POINT (-79.4664 34.7508),25,NC,North Carolina,37
USC00314055,HIGHLANDS,-83.1983,35.0567,POINT (-83.1983 35.0567),25,NC,North Carolina,37
USC00312837,ENKA,-82.6531,35.5406,POINT (-82.6531 35.5406),25,NC,North Carolina,37
USC00316349,OCRACOKE,-75.9872,35.1075,POINT (-75.9872 35.1075),25,NC,North Carolina,37
USW00093807,WINSTON SALEM RYNLDS AP,-80.2222,36.1336,POINT (-80.2222 36.1336),25,NC,North Carolina,37
