,serialid,id,date_str,degrees_from_mean,max_temp,min_temp,type,year,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
38571,1512911,USC00313784,2012-03-16,11.1,30.0,14.4,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38572,1526509,USC00313784,2012-10-30,-11.42,12.2,7.8,Weak Cold,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38573,1527047,USC00313784,2012-11-25,-10.1,12.2,-6.7,Weak Cold,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38574,1529929,USC00313784,2012-03-29,12.2,31.1,13.9,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38575,1530378,USC00313784,2012-03-24,14.2,26.7,17.8,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38576,1533323,USC00313784,2012-03-21,13.1,27.2,16.7,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38577,1535908,USC00313784,2012-09-08,6.32,31.7,22.2,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38578,1536266,USC00313784,2012-09-01,13.56,35.6,22.8,Strong Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38579,1537040,USC00313784,2012-09-02,13.56,35.6,22.8,Strong Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38580,1537747,USC00313784,2012-09-03,6.92,33.3,22.8,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38581,1538503,USC00313784,2012-09-04,7.42,31.7,23.3,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38582,1539231,USC00313784,2012-09-05,8.02,31.7,23.9,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38583,1539923,USC00313784,2012-09-06,6.92,31.7,22.8,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38584,1540615,USC00313784,2012-10-08,-11.42,12.2,9.4,Weak Cold,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38585,1540788,USC00313784,2012-10-09,-9.72,13.9,8.9,Weak Cold,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38586,1540936,USC00313784,2012-10-02,12.66,31.1,21.7,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38587,1541302,USC00313784,2012-10-03,14.26,29.4,23.3,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38588,1542420,USC00313784,2012-10-04,10.36,25.6,19.4,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38589,1542877,USC00313784,2012-06-30,8.63,40.0,22.2,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38590,1545560,USC00313784,2012-07-23,4.21,36.1,24.4,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38591,1546564,USC00313784,2012-07-26,4.21,37.8,24.4,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38592,1546901,USC00313784,2012-07-27,5.41,37.2,25.6,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38593,1547454,USC00313784,2012-12-10,15.69,21.7,15.6,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38594,1548250,USC00313784,2012-07-07,4.21,37.8,24.4,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
